#Assay	Accession	SRA Accession	Replicate	Sample ID	Yeast Target Common Name
ChIP-exo	GSM4450037	SRX8042724	rep1	14784	Sir4
ChIP-exo	GSM4450038	SRX8042725	rep2	18491	Sir4
ChIP-exo	GSM4450039	SRX8042726	rep1	13451	Ski6
ChIP-exo	GSM4450040	SRX8042727	rep1	14464	Skn7
ChIP-exo	GSM4450041	SRX8042800	rep2	14969	Skn7
ChIP-exo	GSM4450042	SRX8042801	rep1	14594	Sko1
ChIP-exo	GSM4450043	SRX8042802	rep2	15654	Sko1
ChIP-exo	GSM4450044	SRX8042803	rep1	14863	Skp1
ChIP-exo	GSM4450045	SRX8042804	rep1	14471	Sks1
ChIP-exo	GSM4450046	SRX8042805	rep1	14389	Slt2
ChIP-exo	GSM4450047	SRX8042806	rep1	14376	Smc1
ChIP-exo	GSM4450048	SRX8042807	rep2	14996	Smc1
ChIP-exo	GSM4450049	SRX8042808	rep1	11886	Smc3
ChIP-exo	GSM4450050	SRX8042809	rep2	17988	Smc3
ChIP-exo	GSM4450051	SRX8042810	rep1	11889	Smc4
ChIP-exo	GSM4450052	SRX8042811	rep2	17934	Smc4
ChIP-exo	GSM4450053	SRX8042812	rep1	17132	Smd1
ChIP-exo	GSM4450054	SRX8042813	rep2	18462	Smd1
ChIP-exo	GSM4450055	SRX8042814	rep1	13475	Sml1
ChIP-exo	GSM4450056	SRX8042815	rep1	14844	Smp1
ChIP-exo	GSM4450057	SRX8042816	rep1	17154	Smt3
ChIP-exo	GSM4450058	SRX8042817	rep1	17938	Snf1
ChIP-exo	GSM4450059	SRX8042818	rep1	14458	Snf11
ChIP-exo	GSM4450060	SRX8042819	rep2	14978	Snf11
ChIP-exo	GSM4450061	SRX8042820	rep1	12080	Snf2
ChIP-exo	GSM4450062	SRX8042821	rep2	17999	Snf2
ChIP-exo	GSM4450063	SRX8042822	rep1	12071	Snf4
ChIP-exo	GSM4450064	SRX8042823	rep1	17857	Snf5
ChIP-exo	GSM4450065	SRX8042848	rep1	11858	Snf6
ChIP-exo	GSM4450066	SRX8042849	rep2	13799	Snf6
ChIP-exo	GSM4450067	SRX8042850	rep1	14760	Snf7
ChIP-exo	GSM4450068	SRX8042851	rep1	11859	Snf8
ChIP-exo	GSM4450069	SRX8042852	rep1	17587	Snt1
ChIP-exo	GSM4450070	SRX8042853	rep1	11939	Snt2
ChIP-exo	GSM4450071	SRX8042854	rep2	14193	Snt2
ChIP-exo	GSM4450072	SRX8042855	rep1	14483	Sod1
ChIP-exo	GSM4450073	SRX8042856	rep1	17848	Soh1
ChIP-exo	GSM4450074	SRX8042857	rep2	20984	Soh1
ChIP-exo	GSM4450075	SRX8042858	rep1	12009	Sok2
ChIP-exo	GSM4450076	SRX8042859	rep2	13809	Sok2
ChIP-exo	GSM4450077	SRX8042860	rep1	13469	Spe2
ChIP-exo	GSM4450078	SRX8042861	rep1	17133	Spp1
ChIP-exo	GSM4450079	SRX8042862	rep2	18463	Spp1
ChIP-exo	GSM4450080	SRX8042863	rep1	14759	Spt10
ChIP-exo	GSM4450081	SRX8042864	rep2	17939	Spt10
ChIP-exo	GSM4450082	SRX8042865	rep1	8599	Spt15
ChIP-exo	GSM4450083	SRX8042866	rep2	8600	Spt15
ChIP-exo	GSM4450084	SRX8042867	rep3	8602	Spt15
ChIP-exo	GSM4450085	SRX8042868	rep4	20001	Spt15
ChIP-exo	GSM4450086	SRX8042869	rep1	8633	Spt16
ChIP-exo	GSM4450087	SRX8042870	rep2	11872	Spt16
ChIP-exo	GSM4450088	SRX8042871	rep3	14259	Spt16
ChIP-exo	GSM4450089	SRX8043208	rep1	12931	Spt2
ChIP-exo	GSM4450090	SRX8043209	rep2	15493	Spt2
ChIP-exo	GSM4450091	SRX8043210	rep1	15911	Spt20
ChIP-exo	GSM4450092	SRX8043211	rep2	17798	Spt20
ChIP-exo	GSM4450093	SRX8043212	rep1	11834	Spt21
ChIP-exo	GSM4450094	SRX8043213	rep2	13795	Spt21
ChIP-exo	GSM4450095	SRX8043214	rep1	13209	Spt23
ChIP-exo	GSM4450096	SRX8043215	rep1	15220	Spt3
ChIP-exo	GSM4450097	SRX8043216	rep2	15774	Spt3
ChIP-exo	GSM4450098	SRX8043217	rep3	20003	Spt3
